Used Memory,Free Memory,Total Memory,Max Memory
857735168,1264582656,2122317824,4135583744
867172352,1255145472,2122317824,4135583744
871366656,1250951168,2122317824,4135583744
874514432,1247803392,2122317824,4135583744
878708736,1243609088,2122317824,4135583744
882903040,1239414784,2122317824,4135583744
887097344,1235220480,2122317824,4135583744
891291648,1231026176,2122317824,4135583744
894435328,1227882496,2122317824,4135583744
898629632,1223688192,2122317824,4135583744
902823936,1219493888,2122317824,4135583744
907018240,1215299584,2122317824,4135583744
911212544,1211105280,2122317824,4135583744
915406848,1206910976,2122317824,4135583744
918554624,1203763200,2122317824,4135583744
922748928,1199568896,2122317824,4135583744
926943232,1195374592,2122317824,4135583744
931137536,1191180288,2122317824,4135583744
935331840,1186985984,2122317824,4135583744
938475520,1183842304,2122317824,4135583744
942669824,1179648000,2122317824,4135583744
946864128,1175453696,2122317824,4135583744
951058432,1171259392,2122317824,4135583744
955252736,1167065088,2122317824,4135583744
959447040,1162870784,2122317824,4135583744
962594816,1159723008,2122317824,4135583744
966789120,1155528704,2122317824,4135583744
970983424,1151334400,2122317824,4135583744
975177728,1147140096,2122317824,4135583744
979372032,1142945792,2122317824,4135583744
982515712,1139802112,2122317824,4135583744
986710016,1135607808,2122317824,4135583744
990904320,1131413504,2122317824,4135583744
995098624,1127219200,2122317824,4135583744
999292928,1123024896,2122317824,4135583744
1003487232,1118830592,2122317824,4135583744
1006635008,1115682816,2122317824,4135583744
1010829312,1111488512,2122317824,4135583744
1015023616,1107294208,2122317824,4135583744
1019217920,1103099904,2122317824,4135583744
1023412224,1098905600,2122317824,4135583744
1026555904,1095761920,2122317824,4135583744
1030750208,1091567616,2122317824,4135583744
1034944512,1087373312,2122317824,4135583744
1039138816,1083179008,2122317824,4135583744
1043333120,1078984704,2122317824,4135583744
1047527424,1074790400,2122317824,4135583744
1050675200,1071642624,2122317824,4135583744
1180698624,941619200,2122317824,4135583744
1184892928,937424896,2122317824,4135583744
1189087232,933230592,2122317824,4135583744
1193281536,929036288,2122317824,4135583744
1196425216,925892608,2122317824,4135583744
1200619520,921698304,2122317824,4135583744
1204813824,917504000,2122317824,4135583744
1209008128,913309696,2122317824,4135583744
1213202432,909115392,2122317824,4135583744
1217396736,904921088,2122317824,4135583744
1220544512,901773312,2122317824,4135583744
1224738816,897579008,2122317824,4135583744
1228933120,893384704,2122317824,4135583744
1233127424,889190400,2122317824,4135583744
1237321728,884996096,2122317824,4135583744
1240465408,881852416,2122317824,4135583744
1244659712,877658112,2122317824,4135583744
1248854016,873463808,2122317824,4135583744
1253048320,869269504,2122317824,4135583744
1257242624,865075200,2122317824,4135583744
1261436928,860880896,2122317824,4135583744
1264584704,857733120,2122317824,4135583744
1268779008,853538816,2122317824,4135583744
1272973312,849344512,2122317824,4135583744
1277167616,845150208,2122317824,4135583744
1281361920,840955904,2122317824,4135583744
